Road_Name,Road_Type,Segment_Index,Start_Lat,Start_Lon,End_Lat,End_Lon,Length_Meters,Dist_to_Intersection_m,No_of_Lanes,Speed_Limit_kmh,Road_Surface
Kandy Road,trunk,9,8.342309,80.449129,8.341455,80.449368,98.09,1567.24,2,50,asphalt
Outer Circular Road (Wata Wandana Road),secondary,1,8.371238,80.400505,8.371492,80.398902,200.0,91.8,2,50,asphalt
Outer Circular Road (Wata Wandana Road),secondary,2,8.371492,80.398902,8.370733,80.397601,200.0,253.21,2,50,asphalt
Outer Circular Road (Wata Wandana Road),secondary,3,8.370733,80.397601,8.369802,80.396401,200.0,412.2,2,50,asphalt
Outer Circular Road (Wata Wandana Road),secondary,4,8.369802,80.396401,8.369158,80.394774,200.0,576.67,2,50,asphalt
Outer Circular Road (Wata Wandana Road),secondary,5,8.369158,80.394774,8.369241,80.39296,200.0,664.62,2,50,asphalt
Outer Circular Road (Wata Wandana Road),secondary,6,8.369241,80.39296,8.369915,80.391832,200.0,481.3,2,50,asphalt
Outer Circular Road (Wata Wandana Road),secondary,7,8.369915,80.391832,8.370774,80.391811,95.36,469.65,2,50,asphalt
Anuradhapura Road,trunk,1,8.355823,80.417918,8.355651,80.416813,124.49,58.39,2,50,asphalt
Lankaramaya Road,secondary,1,8.364482,80.391144,8.364643,80.389351,200.0,542.92,2,50,asphalt
Lankaramaya Road,secondary,2,8.364643,80.389351,8.365757,80.388592,200.0,439.02,2,50,asphalt
Lankaramaya Road,secondary,3,8.365757,80.388592,8.366882,80.387822,200.0,284.63,2,50,asphalt
Lankaramaya Road,secondary,4,8.366882,80.387822,8.368688,80.38782,200.0,117.96,2,50,asphalt
Sri Bharathindra Mawatha,secondary,1,8.345933,80.40717,8.346675,80.405564,195.17,97.41,2,50,asphalt
Sri Bharathindra Mawatha,secondary,1,8.345203,80.407542,8.345529,80.407436,37.84,30.79,2,50,asphalt
Sri Maha Bodhi Mawatha,primary,1,8.343693,80.40362,8.34374,80.40336,29.08,43.64,2,50,asphalt
Railway Place,secondary,1,8.343955,80.410542,8.342572,80.410376,154.0,76.96,2,50,asphalt
Harischandra Mawatha,trunk,1,8.335511,80.40973,8.33617,80.408038,200.0,203.09,2,50,asphalt
Harischandra Mawatha,trunk,2,8.33617,80.408038,8.336844,80.406353,200.0,101.06,2,50,asphalt
Airport Road,trunk,1,8.309835,80.423091,8.308598,80.424416,200.0,100.05,2,50,asphalt
Airport Road,trunk,2,8.308598,80.424416,8.307371,80.42575,200.0,300.04,2,50,asphalt
Airport Road,trunk,3,8.307371,80.42575,8.305863,80.426501,200.0,495.83,2,50,asphalt
Airport Road,trunk,4,8.305863,80.426501,8.304229,80.425724,200.0,626.43,2,50,asphalt
Airport Road,trunk,5,8.304229,80.425724,8.302589,80.424959,200.0,752.85,2,50,asphalt
